facility_name,facility_name_english,facility_name_display,facility_type_standard,longitude,latitude,has_original_name,coordinates_valid,location_precision
صيدلية الدوثر,Al Dawthar Pharmacy,Al Dawthar Pharmacy,pharmacy,32.5637833,15.5022537,TRUE,TRUE,high
مجمع الأزهري الطبي,Al-Azhari Medical Complex,Al-Azhari Medical Complex,clinic,32.5633458,15.5047217,TRUE,TRUE,high
صيدلية الأزهر,Al-Azhar Pharmacy,Al-Azhar Pharmacy,pharmacy,32.563372,15.5046325,TRUE,TRUE,high
صيدلية دار دار,Dar Dar Pharmacy,Dar Dar Pharmacy,pharmacy,32.5634035,15.5062602,TRUE,TRUE,high
Aletihad Modern,Aletihad Modern,Aletihad Modern,pharmacy,32.5012177,15.5516791,TRUE,TRUE,high
صيدلة الشريان الحديثة,Modern artery pharmacy,Modern artery pharmacy,pharmacy,32.4992574,15.5469999,TRUE,TRUE,high
صيدلية التواضع,Humility Pharmacy,Humility Pharmacy,pharmacy,32.4944324,15.5361533,TRUE,TRUE,high
مستشفى بحري التعليمي,Bahri Teaching Hospital,Bahri Teaching Hospital,hospital,32.5284461,15.6259759,TRUE,TRUE,high
صيدليه اورينت,Orient Pharmacy,Orient Pharmacy,pharmacy,32.5285628,15.6266972,TRUE,TRUE,high
المركز التشخيصي المتطور,Advanced diagnostic center,Advanced diagnostic center,hospital,32.5272734,15.6257605,TRUE,TRUE,high
صيدلي الفتح الحديثة,Modern Fath Pharmacist,Modern Fath Pharmacist,pharmacy,32.4963807,15.540364,TRUE,TRUE,high
صيدلة اسمايل فارما الحديثة,Smile Pharma Modern Pharmacy,Smile Pharma Modern Pharmacy,pharmacy,32.4999253,15.5485396,TRUE,TRUE,high
صيدلية الدواء المركزي,Central Drug Pharmacy,Central Drug Pharmacy,pharmacy,32.4985057,15.5452453,TRUE,TRUE,high
صيدلة مركز الشجرة الصحي,Al Shajara Health Center Pharmacy,Al Shajara Health Center Pharmacy,pharmacy,32.4974667,15.5427181,TRUE,TRUE,high
صيدليه التمير 2,Al Tamir Pharmacy 2,Al Tamir Pharmacy 2,pharmacy,32.5277963,15.6246261,TRUE,TRUE,high
kutrang pharmacy,kutrang pharmacy,kutrang pharmacy,pharmacy,32.9625404,15.2746866,TRUE,TRUE,high
مركزصحي كترانج,Katrang Health Center,Katrang Health Center,clinic,32.9635887,15.2770427,TRUE,TRUE,high
Minat Allah - صيدلية منة الله,Minat Allah - Minat Allah Pharmacy,Minat Allah - Minat Allah Pharmacy,pharmacy,32.5685458,15.635896,TRUE,TRUE,high
صيدلية رابعة العدوية,Rabaa Al Adawiya Pharmacy,Rabaa Al Adawiya Pharmacy,pharmacy,32.569975,15.598512,TRUE,TRUE,high
صيدلية نوسترم,Nostrum Pharmacy,Nostrum Pharmacy,pharmacy,32.568692,15.5989679,TRUE,TRUE,high
صيدلية ذا النون,The Noon Pharmacy,The Noon Pharmacy,pharmacy,32.5662711,15.5994733,TRUE,TRUE,high
صيدلية مكة 14,Mecca Pharmacy 14,Mecca Pharmacy 14,pharmacy,32.5682953,15.5809142,TRUE,TRUE,high
Tenna health center,Tenna health center,Tenna health center,clinic,29.4505149,14.167514,TRUE,TRUE,high
صيدلية أبو صبا,Abu Saba Pharmacy,Abu Saba Pharmacy,pharmacy,32.547805,15.5409475,TRUE,TRUE,high
صيدلية النخبة,Elite Pharmacy,Elite Pharmacy,pharmacy,32.550925,15.5314188,TRUE,TRUE,high
صيدلية علياء,Alia Pharmacy,Alia Pharmacy,pharmacy,32.5563061,15.5318757,TRUE,TRUE,high
مستشفى القابلات للولادة,Midwives Hospital,Midwives Hospital,hospital,32.4897019,15.635974,TRUE,TRUE,high
Shambat pharmacy,Shambat pharmacy,Shambat pharmacy,pharmacy,32.5247722,15.6551384,TRUE,TRUE,high
مركز المزارعين الصحي,Farmers Health Center,Farmers Health Center,clinic,34.148928,13.9587969,TRUE,TRUE,high
صيدلية عزنا,Ezna Pharmacy,Ezna Pharmacy,pharmacy,32.5659751,15.4869472,TRUE,TRUE,high
صيدلية الوفاقٍ,Al-Wefaq Pharmacy,Al-Wefaq Pharmacy,pharmacy,32.5539084,15.4851427,TRUE,TRUE,high
صيدلية الصفصاف,Al Safsaf Pharmacy,Al Safsaf Pharmacy,pharmacy,32.5607225,15.4923849,TRUE,TRUE,high
مستشفى بشائر التعليمي,Bashaer Teaching Hospital,Bashaer Teaching Hospital,hospital,32.5524368,15.4893122,TRUE,TRUE,high
Dongola hospital,Dongola hospital,Dongola hospital,clinic,30.4661309,19.1782763,TRUE,TRUE,high
Military hospital,Military hospital,Military hospital,clinic,30.4675752,19.1780238,TRUE,TRUE,high
صيدلية باشكار الحديثة,Modern Bashkar Pharmacy,Modern Bashkar Pharmacy,pharmacy,32.494564,15.4817659,TRUE,TRUE,high
صيدليه الطيف,Spectrum Pharmacy,Spectrum Pharmacy,pharmacy,32.4998888,15.482555,TRUE,TRUE,high
صيدلية سند,Sanad Pharmacy,Sanad Pharmacy,pharmacy,32.5014224,15.475292,TRUE,TRUE,high
سوق شقي,Naughty market,Naughty market,clinic,28.0839702,9.914031,TRUE,TRUE,high
النعام,Ostrich,Ostrich,clinic,28.467549,9.7144516,TRUE,TRUE,high
,,Unnamed Pharmacy,pharmacy,33.5200904,14.3970698,FALSE,TRUE,medium
د. عبد القادر الكدرو باطنية,"D. Abdel Qader Al-Kadro, mystical","D. Abdel Qader Al-Kadro, mystical",clinic,32.5314075,15.6365627,TRUE,TRUE,high
Royal care Northern Gate,Royal care Northern Gate,Royal care Northern Gate,clinic,32.5712828,15.6001912,TRUE,TRUE,high
مستشفى مروي التخصصي,Marawi Specialized Hospital,Marawi Specialized Hospital,hospital,31.8387922,18.4841833,TRUE,TRUE,high
صيدلية بريفليج,Privilege Pharmacy,Privilege Pharmacy,pharmacy,32.4316864,15.5593128,TRUE,TRUE,high
صيدلية الكدادة,Al-Kadada Pharmacy,Al-Kadada Pharmacy,pharmacy,32.4596484,15.5935856,TRUE,TRUE,high
صيدلية محمد سعيد,Mohamed Saeed Pharmacy,Mohamed Saeed Pharmacy,pharmacy,32.4661178,15.6069512,TRUE,TRUE,high
صيدلية ابتسام,Ibtisam Pharmacy,Ibtisam Pharmacy,pharmacy,32.4753113,15.6185627,TRUE,TRUE,high
The Military Hospital (- Omdurman,The Military Hospital (- Omdurman,The Military Hospital - Omdurman,hospital,32.4842813,15.6168332,TRUE,TRUE,high
صيدلية ضحى,Doha Pharmacy,Doha Pharmacy,pharmacy,32.4706798,15.6075029,TRUE,TRUE,high
Al Muhandiseen Medical Compound,Al Muhandiseen Medical Compound,Al Muhandiseen Medical Compound,clinic,32.4621895,15.6087513,TRUE,TRUE,high
Al Badai'e Pharmacy,Al Badai'e Pharmacy,Al Badai'e Pharmacy,pharmacy,32.4650112,15.6080729,TRUE,TRUE,high
Al Badai'e Clinic,Al Badai'e Clinic,Al Badai'e Clinic,clinic,32.4650309,15.6081711,TRUE,TRUE,high
Sa'd Roshwan Pharmacy,Sa'd Roshwan Pharmacy,Sa'd Roshwan Pharmacy,pharmacy,32.4625928,15.6016411,TRUE,TRUE,high
Al Qi,Al Qi,Al Qi,clinic,32.4222893,15.5288804,TRUE,TRUE,high
Ard,Ard,Ard,pharmacy,32.4238155,15.5323114,TRUE,TRUE,high
Habbat Al Baraka Pharmacy,Habbat Al Baraka Pharmacy,Habbat Al Baraka Pharmacy,pharmacy,32.4139751,15.5405652,TRUE,TRUE,high
Karary University Dentistry Clinics,Karary University Dentistry Clinics,Karary University Dentistry Clinics,dental_clinic,32.4790455,15.6153791,TRUE,TRUE,high
مشرحة الجامعة,University morgue,University morgue,clinic,32.4781183,15.615994,TRUE,TRUE,high
Obs,Obs,Obs,hospital,32.4836118,15.6164921,TRUE,TRUE,high
Tameem Clinic,Tameem Clinic,Tameem Clinic,clinic,32.5058827,15.6682707,TRUE,TRUE,high
مركز السليمانية غرب الصحي المرجعي,Sulaymaniyah West Health Reference Center,Sulaymaniyah West Health Reference Center,clinic,32.473238,15.312573,TRUE,TRUE,high
,,Unnamed Pharmacy,pharmacy,32.5360152,15.6325368,FALSE,TRUE,medium
Shafag pharmacy,Shafag pharmacy,Shafag pharmacy,pharmacy,32.5353889,15.5691515,TRUE,TRUE,high
صيدلية النادي,Club Pharmacy,Club Pharmacy,pharmacy,32.5764389,15.5784378,TRUE,TRUE,high
مركز الماسه لطب الأسنان (اطفال),Al Masa Dental Center (Children),Al Masa Dental Center (Children),dental_clinic,32.5747207,15.5857524,TRUE,TRUE,high
صيدلية جبل اولياء,Jabal Awliyaa Pharmacy,Jabal Awliyaa Pharmacy,pharmacy,32.5008972,15.2417266,TRUE,TRUE,high
صيدلية ماما سمية,Mama Somaya Pharmacy,Mama Somaya Pharmacy,pharmacy,32.5579376,15.6051874,TRUE,TRUE,high
صيدلية الاول,First Pharmacy,First Pharmacy,pharmacy,32.4609375,15.6489372,TRUE,TRUE,high
صيدلية الشهيدة سلمي,Martyr Salma Pharmacy,Martyr Salma Pharmacy,pharmacy,32.5334486,15.6000743,TRUE,TRUE,high
صيدلية الحرمين,Al Haramain Pharmacy,Al Haramain Pharmacy,other,32.4847622,15.4805494,TRUE,TRUE,high
Blood Bank - Military Hospital,Blood Bank - Military Hospital,Blood Bank - Military Hospital,other,32.4843194,15.6120112,TRUE,TRUE,high
Bint Karoda Medical Lab,Bint Karoda Medical Lab,Bint Karoda Medical Lab,other,32.469671,15.3165894,TRUE,TRUE,high
Dr. Ahlam Laboratory,Dr. Ahlam Laboratory,Dr. Ahlam Laboratory,other,32.4686805,15.3266334,TRUE,TRUE,high
ماتيا للبصريات,Mattea Opticals,Mattea Opticals,other,32.5716163,15.6045733,TRUE,TRUE,high
مستشفى علياء التخصصي 2,Alia Specialized Hospital 2,Alia Specialized Hospital 2,hospital,32.4848481,15.6136204,TRUE,TRUE,high
صيدلية احباب الرحمن,Ahbab Al-Rahman Pharmacy,Ahbab Al-Rahman Pharmacy,pharmacy,32.5043916,15.6842485,TRUE,TRUE,high
مستشف المنورة التخصصي,Al Munawara Specialized Hospital,Al Munawara Specialized Hospital,clinic,32.4823089,15.4863417,TRUE,TRUE,high
صيدلية شهد,Shahd Pharmacy,Shahd Pharmacy,pharmacy,32.5246874,15.6621882,TRUE,TRUE,high
صيدلية الفجر الحديث,Al Fajr Modern Pharmacy,Al Fajr Modern Pharmacy,pharmacy,32.5355856,15.5677844,TRUE,TRUE,high
صيدلية سيفوي,Safeway Pharmacy,Safeway Pharmacy,pharmacy,32.5363675,15.5648659,TRUE,TRUE,high
الابتسامة اللامعة,The bright smile,The bright smile,dental_clinic,32.5355638,15.5681895,TRUE,TRUE,high
صيدلية الهلالي,Al Hilali Pharmacy,Al Hilali Pharmacy,pharmacy,32.536343,15.563422,TRUE,TRUE,high
صيدلية بابنتود,Babentud Pharmacy,Babentud Pharmacy,pharmacy,32.4846878,15.4924374,TRUE,TRUE,high
صيدلية نيو آن الحديثة,New Ann Modern Pharmacy,New Ann Modern Pharmacy,pharmacy,32.4875641,15.5186872,TRUE,TRUE,high
صيدلية اريام,Aryam Pharmacy,Aryam Pharmacy,pharmacy,32.5003128,15.560813,TRUE,TRUE,high
مستشفي ام سياله العام,Umm Sayala General Hospital,Umm Sayala General Hospital,hospital,31.1287951,14.3955293,TRUE,TRUE,high
صيدلية الاقحوان,Al-Aqhawan Pharmacy,Al-Aqhawan Pharmacy,pharmacy,32.5039368,15.4589376,TRUE,TRUE,high
مستشفي مستري,Mistry Hospital,Mistry Hospital,hospital,22.1850405,13.126066,TRUE,TRUE,high
صيدلية النادر ومك,Al-Nader and MK Pharmacy,Al-Nader and MK Pharmacy,pharmacy,32.527813,15.5341873,TRUE,TRUE,high
صيدلية الرملي,Ramli Pharmacy,Ramli Pharmacy,pharmacy,32.5040627,15.5235624,TRUE,TRUE,high
صيدلية ابو حسبو,Abu Hasbo Pharmacy,Abu Hasbo Pharmacy,pharmacy,32.5238113,15.5271873,TRUE,TRUE,high
صيدلية هاي كير - بجبرة,Hi Care Pharmacy - Jabrah,Hi Care Pharmacy - Jabrah,pharmacy,32.5304375,15.5280628,TRUE,TRUE,high
صيدلية د ريم,Dr Reem Pharmacy,Dr Reem Pharmacy,pharmacy,32.5828133,15.5373125,TRUE,TRUE,high
مستشفى جبيل الطينة,Jbeil Tina Hospital,Jbeil Tina Hospital,hospital,32.4629285,15.2995724,TRUE,TRUE,high
صيدلية وجن,Wajan Pharmacy,Wajan Pharmacy,pharmacy,32.578186,15.7325621,TRUE,TRUE,high
ZAL teaching Hospital,ZAL teaching Hospital,ZAL teaching Hospital,hospital,23.8346473,12.759927,TRUE,TRUE,high
Hospital for xpat,Hospital for xpat,Hospital for xpat,hospital,22.4503823,13.4442482,TRUE,TRUE,high
صيدلية كير لايف ٢,Care Life Pharmacy 2,Care Life Pharmacy 2,pharmacy,32.5733109,15.5884371,TRUE,TRUE,high
صيدلية بكري وشذى,Bakri and Shatha Pharmacy,Bakri and Shatha Pharmacy,pharmacy,32.5631866,15.5946875,TRUE,TRUE,high
عيادة الابراج لطب الاسنان,Al Abraj Dental Clinic,Al Abraj Dental Clinic,dental_clinic,32.505882,15.6979318,TRUE,TRUE,high
صيدلية الملاك,Angel Pharmacy,Angel Pharmacy,pharmacy,33.5354004,14.3886943,TRUE,TRUE,high
صيدلية عواطف,Awatif Pharmacy,Awatif Pharmacy,pharmacy,32.531311,15.6474371,TRUE,TRUE,high
صيدلية تدبير الله,Tadbeer Allah Pharmacy,Tadbeer Allah Pharmacy,pharmacy,32.562561,15.6080627,TRUE,TRUE,high
صيدلية فارنا سيتي,Varna City Pharmacy,Varna City Pharmacy,pharmacy,32.5721893,15.7026873,TRUE,TRUE,high
صيدلية د راوية,Dr Rawya Pharmacy,Dr Rawya Pharmacy,pharmacy,32.5754356,15.6646872,TRUE,TRUE,high
صيدلية الجلالين,Al-Jalalin Pharmacy,Al-Jalalin Pharmacy,pharmacy,32.5715637,15.6650629,TRUE,TRUE,high
صيدلية نوفا,Nova Pharmacy,Nova Pharmacy,pharmacy,32.5730629,15.6356878,TRUE,TRUE,high
صيدلية المانجل ٢,Al Manjil Pharmacy 2,Al Manjil Pharmacy 2,pharmacy,32.5739365,15.7613125,TRUE,TRUE,high
صيدلية التعافي,Recovery Pharmacy,Recovery Pharmacy,pharmacy,32.5749359,15.7614374,TRUE,TRUE,high
صيدلية ام القرى البيطرية,Umm Al-Qura Veterinary Pharmacy,Umm Al-Qura Veterinary Pharmacy,pharmacy,32.5881882,15.7585621,TRUE,TRUE,high
صيدلية طابة,Tabah Pharmacy,Tabah Pharmacy,pharmacy,32.578186,15.7509375,TRUE,TRUE,high
صيدلية دوائي - ام القرى,Dawai Pharmacy - Umm Al-Qura,Dawai Pharmacy - Umm Al-Qura,pharmacy,32.5790634,15.7505627,TRUE,TRUE,high
صيدلية زهرة المدائن الطبية,Zahrat Al Madaen Medical Pharmacy,Zahrat Al Madaen Medical Pharmacy,pharmacy,32.5674362,15.7550621,TRUE,TRUE,high
صيدلية مسك الجنة,Misk Al Jannah Pharmacy,Misk Al Jannah Pharmacy,pharmacy,32.6079175,15.6126737,TRUE,TRUE,high
صيدلية روشتة,Rosheta Pharmacy,Rosheta Pharmacy,pharmacy,32.6061655,15.6041203,TRUE,TRUE,high
صيدلية مشاعل,Mashael Pharmacy,Mashael Pharmacy,pharmacy,32.5789375,15.7353125,TRUE,TRUE,high
صيدلية النطاسي,Al-Natasi Pharmacy,Al-Natasi Pharmacy,pharmacy,32.567688,15.7321873,TRUE,TRUE,high
صيدلية خيول,Horses pharmacy,Horses pharmacy,pharmacy,32.5718117,15.732688,TRUE,TRUE,high
صيدلية ابو اواب الحديثة,Abu Awab Modern Pharmacy,Abu Awab Modern Pharmacy,pharmacy,33.3027464,14.7382846,TRUE,TRUE,high
صيدلية التامين الصحي,Health insurance pharmacy,Health insurance pharmacy,pharmacy,33.3035406,14.738862,TRUE,TRUE,high
صيدلية لين,Lane Pharmacy,Lane Pharmacy,pharmacy,33.3042418,14.7315018,TRUE,TRUE,high
صيدلية الصفا,Al Safa Pharmacy,Al Safa Pharmacy,pharmacy,33.3019716,14.7360227,TRUE,TRUE,high
صيدلية النور,Al Nour Pharmacy,Al Nour Pharmacy,pharmacy,33.2992412,14.7384342,TRUE,TRUE,high
صيدلية الهدي 2,Al-Huda Pharmacy 2,Al-Huda Pharmacy 2,pharmacy,33.2990965,14.7364593,TRUE,TRUE,high
صيدلية مركز صحي الحلة الجديدة,New Hilla Health Center Pharmacy,New Hilla Health Center Pharmacy,pharmacy,33.3011619,14.7469753,TRUE,TRUE,high
صيدلية دكتور نمير الحديثة,Dr. Namir Modern Pharmacy,Dr. Namir Modern Pharmacy,pharmacy,33.299734,14.7475204,TRUE,TRUE,high
,,Unnamed Pharmacy,pharmacy,32.5339615,15.5286633,FALSE,TRUE,medium
صيدلية وضاح,Waddah Pharmacy,Waddah Pharmacy,pharmacy,32.6209868,15.603976,TRUE,TRUE,high
صيدلية دكتور جعفر,Dr. Jaafar Pharmacy,Dr. Jaafar Pharmacy,pharmacy,32.6251482,15.6033235,TRUE,TRUE,high
صيدلية سنكونا 2,Sankona Pharmacy 2,Sankona Pharmacy 2,pharmacy,32.6372843,15.6013697,TRUE,TRUE,high
,,Unnamed Pharmacy,pharmacy,32.5682389,15.6068963,FALSE,TRUE,medium
صيدلية الخضراء,Green Pharmacy,Green Pharmacy,pharmacy,32.5683136,15.6068125,TRUE,TRUE,high
شركة ازال للادوية,Azal Pharmaceuticals Company,Azal Pharmaceuticals Company,pharmacy,32.5350837,15.584555,TRUE,TRUE,high
صيدلية محمد الطيب برير,Muhammad Al-Tayeb Brir Pharmacy,Muhammad Al-Tayeb Brir Pharmacy,pharmacy,32.4859203,15.7042298,TRUE,TRUE,high
